,firstName,lastName,age,sex,Vehicle_Make,Vehicle_Model,Vehicle_Year,Vehicle_Type,iban,credit_card_number,credit_card_security_code,credit_card_start_date,credit_card_end_date,address_main,address_city,address_postcode,debt,retired,dependants,marital_status,salary,pension,company,commute_distance,sn
234,Abigail,Edwards,84,Female,Volvo,Sentra,2004,Sedan,GB54BSLY25956973713681,3571264558775735,784,03/17,05/20,62 Ashleigh road,Harrisshire,E5G 6EN,0,True,1.0,single,19594,32412,None,0.0,SN235
235,Annette,Hill,74,Female,Pontiac,Cavalier,2018,Sedan,GB57UBWT29458460467469,3527304631495276,917,11/21,10/22,Flat 23 Robert turnpike,Chelseahaven,SM08 8TG,0,False,2.0,single,95782,0,"Jones, Lloyd and Smith",19.93,SN236
236,Kyle,Wallis,39,Male,Chevrolet,Phantom,2014,Sedan,GB52TIIU66965426104431,2297875931632775,638,04/19,06/22,Studio 31 Ryan locks,East Kelly,M5E 7BF,0,False,2.0,married or civil partner,95625,0,Shah-Wilkinson,19.91,SN237
237,Donald,Bell,91,Male,Porsche,Acadia,1999,Van/Minivan,GB15PCQL13667095697789,4990057154198283264,250,08/15,08/27,Flat 77 Hamilton wells,East Paul,PH15 7YY,0,True,3.0,single,68452,36224,None,0.0,SN238
238,Sean,Collins,24,Male,GMC,Ghost,2009,Pickup,GB94VHID76347676392791,30071784415213,559,02/19,05/27,Flat 0 Roberts isle,Port Shirley,CW07 5NZ,12265.66,False,2.0,married or civil partner,29154,0,Fuller Group,8.76,SN239
239,Toby,Williams,70,Male,Dodge,Suburban 1500,2014,Van/Minivan,GB91TOKU74106292529800,2255437746535915,936,10/18,11/23,0 Holloway drives,New Kenneth,L8S 4SD,0,True,2.0,divorced,66290,31899,None,0.0,SN240
240,Bryan,Page,68,Male,McLaren,Silverado 1500 Crew Cab,2005,"Coupe, Convertible",GB29GSKH17839890069605,349236000598342,756,09/19,05/21,550 Kimberley street,East Louiseview,B9 5AY,0,True,3.0,married or civil partner,18226,14858,None,0.0,SN241
241,Kayleigh,Grant,48,Female,Jeep,Grand Caravan Passenger,2012,SUV,GB70EZEO00673941582370,4116757137724599296,741,11/20,03/27,207 Joseph fords,Kateton,HG7V 4RR,11330.94,False,2.0,single,35046,0,Johnson Inc,10.08,SN242
242,June,White,65,Female,GMC,Tundra Double Cab,2008,SUV,GB70BZZH92413461400202,3558755657176565,3309,10/14,04/25,33 Yvonne locks,North Natalieton,BA0 9EE,0,False,2.0,married or civil partner,67684,0,Smart PLC,15.96,SN243
243,Marcus,Miah,22,Male,Ford,Sprinter 2500 Cargo,2002,SUV,GB92MXYB63362284954798,213186245362553,793,11/20,04/27,8 Hannah camp,West Joanneborough,M39 2AS,0,False,3.0,married or civil partner,31980,0,Johnson Group,9.41,SN244
244,Melissa,Ward,70,Female,Chevrolet,Previa,1995,Sedan,GB15LUBX14303807956043,213163435279020,79,12/13,01/21,Studio 1 Lawrence roads,Petersstad,E3B 4YZ,0,True,2.0,married or civil partner,24567,21356,None,0.0,SN245
245,Jeffrey,Holt,28,Male,GMC,Express 1500 Passenger,1994,Van/Minivan,GB35LXCG66664462300893,4095151202025564,95,02/14,05/30,Studio 0 Clarke prairie,New Damien,L70 0TB,0,False,2.0,divorced,79039,0,Bond Group,17.65,SN246
246,Shannon,Matthews,60,Female,Saab,86,2001,Pickup,GB17ZUEB65475905903696,6011751686771017,927,12/20,10/21,17 Cameron crest,North Jessicaview,N28 9GB,0,False,2.0,married or civil partner,34033,0,Archer-Cross,9.86,SN247
247,Zoe,Shaw,90,Female,MAZDA,Focus,2005,Van/Minivan,GB53YTVD04896889898299,3595269946787435,686,04/15,09/24,Studio 0 Burton knolls,Jacksonside,E0B 0JG,0,True,2.0,married or civil partner,93804,19157,None,0.0,SN248
248,Arthur,Fleming,71,Male,Ford,Esteem,2019,SUV,GB17QKWA33390332799399,372573918113024,53,10/18,02/26,Studio 0 Williams street,Taylormouth,CR1 1QE,0,True,2.0,widowed,76145,20534,None,0.0,SN249
249,Claire,Gill,66,Female,GMC,C-Class,1999,"Sedan, Convertible",GB23VXTE90549860293723,30206615192512,573,06/13,08/30,Studio 97 Harrison vista,New Sian,TF1 1FS,0,False,2.0,single,86747,0,"Hayward, Hill and Scott",18.73,SN250
250,Glenn,Walters,77,Male,Suzuki,cube,2015,SUV,GB82LLDS97302413812339,3524257195389025,265,02/16,10/18,899 Simon center,Dianeburgh,B0U 2XR,0,False,1.0,single,87671,0,"Thomas, Hilton and Khan",18.86,SN251
251,Diane,Smith,83,Female,Hyundai,Scoupe,2014,Pickup,GB93SQZT92041663462845,2234985540857022,338,03/14,01/18,817 Pauline trafficway,North Harriet,LU2W 3TS,0,True,2.0,single,42566,23055,None,0.0,SN252
252,Julian,King,20,Male,Suzuki,Navigator,2017,Sedan,GB94ENYC03030578781434,213160758811140,851,06/21,01/25,396 Leon tunnel,South Bethborough,N9J 1TD,0,False,2.168711656441718,single,96677,0,Walker PLC,20.05,SN253
253,Jessica,Robinson,25,Female,GMC,GLE,2002,Van/Minivan,GB31JOFP08018085749997,180047191630378,771,10/21,10/23,Flat 21z Janice freeway,Lindaborough,ML48 7UN,0,False,1.0,single,85374,0,"Burgess, Nicholls and Wilkinson",18.54,SN254
254,Allan,Gould,58,Male,Acura,Ranger Regular Cab,2002,Convertible,GB74IWBR49375560982255,3529266160897677,577,07/17,01/19,Studio 78C Kim falls,Dianahaven,M67 8HU,0,False,2.0,married or civil partner,62466,0,Smith-Gray,15.14,SN255
255,Shirley,Shah,80,Female,Chevrolet,Mighty Max Macro Cab,2003,SUV,GB19JXFK60506548110667,60452125978,795,01/16,04/27,Flat 97 Leigh manor,Raymondfurt,G0H 1PD,19013.71,True,4.0,married or civil partner,80165,28536,None,0.0,SN256
256,Bernard,Hughes,31,Male,Oldsmobile,MKT,1996,Coupe,GB50IPNY54976104518117,4504251773843307,134,11/17,07/26,Flat 57 Sarah bridge,North Elliot,CH72 8GD,19222.90,False,2.0,married or civil partner,57989,0,"Ali, Bell and Robson",14.4,SN257
257,Rita,Smith,79,Female,Volkswagen,Grand Cherokee,1998,"Sedan, Hatchback",GB24LTYJ56441294441455,2431183799959100,496,06/19,09/20,Flat 8 Charlotte parkway,Collinsfurt,WS4 5TY,13662.78,True,1.0,single,27432,36245,None,0.0,SN258
258,Hazel,Taylor,67,Female,FIAT,CX-9,2018,Pickup,GB21MTVS43546688982233,348052739843466,742,06/14,06/32,384 Simmons flats,West Katie,NW5 3YH,0,False,1.0,single,93003,0,Long-Ward,19.57,SN259
259,Chloe,Price,63,Female,Ford,Defender 90,1992,SUV,GB95YBNM57890274256148,180026962632912,6792,12/12,12/29,Studio 19 Mohammed views,Lewisville,N7 1GS,0,False,2.0,single,51538,0,Jones-Spencer,13.29,SN260
260,Kyle,Palmer,40,Male,Dodge,Vantage,2005,Convertible,GB58VIZR45247352156738,4948415214689,19,06/20,07/25,Flat 66 Powell garden,Woodsland,DN7 6QL,0,False,2.0,married or civil partner,86135,0,"Clark, Holland and Thomas",18.65,SN261
261,Ellie,Stevenson,86,Female,Subaru,62,2011,Pickup,GB10NKOR82511828874637,4888174074003331072,664,03/21,08/30,6 Young drive,Lewisborough,B1S 5XD,0,True,5.0,married or civil partner,44471,5190,None,0.0,SN262
262,Maria,Wilkins,74,Female,Chevrolet,Savana 2500 Cargo,2005,Hatchback,GB72QXNE37333884154805,371576342273976,130,07/21,04/26,Studio 84p Carl crescent,Annview,UB71 9ZN,"{'amount': '17851.44', 'time_period_years': 4}",False,3.0,divorced,84501,0,"Hawkins, Shepherd and Howard",18.42,SN263
263,Jenna,Austin,41,Female,FIAT,Sierra 1500 Crew Cab,1993,Sedan,GB94UMXO80723367918504,630478961307,624,02/19,05/22,8 Payne harbor,New Jayne,S3S 9ZU,0,False,1.0,married or civil partner,22962,0,"Archer, Carter and Wright",7.21,SN264
264,Leanne,Ward,69,Female,BMW,Transit Connect Passenger,2001,Sedan,GB75XAZM55754070521559,3583353141639767,713,10/13,12/15,5 Richardson burgs,North Rickymouth,SP04 8XQ,0,True,3.0,married or civil partner,43032,22396,None,0.0,SN265
265,Linda,Bryan,18,Female,Toyota,NV2500 HD Cargo,1992,"Coupe, Convertible",GB30HNGI91321677199524,180030037990016,125,06/15,02/27,893 Kemp track,Port Natasha,SW7 8GH,0,False,4.0,married or civil partner,83508,0,"Arnold, Newman and Booth",18.28,SN266
266,Brenda,Richardson,35,Female,GMC,MPV,2010,Pickup,GB85ZAUK84036350510570,5402686470715177,347,01/18,04/29,00 O'Brien lakes,Emilytown,NR0 3BN,14270.04,False,2.0,married or civil partner,89687,0,Walker-Rogers,19.13,SN267
267,Bruce,Stevens,44,Male,Mitsubishi,Mirage,1999,SUV,GB22MFTN99026163974590,213129444214894,882,03/15,07/22,8 Christian locks,Thomasmouth,B51 5RG,0,False,1.0,married or civil partner,19341,0,Shepherd-Stone,6.2,SN268
268,Brenda,Jones,19,Female,Saturn,SLK-Class,2013,Convertible,GB46EMJE18271998444476,2719775513320759,302,12/20,08/25,Flat 35I Shah bypass,New Leslie,S1F 1JD,0,False,2.0,married or civil partner,72807,0,"Parker, Ellis and Anderson",16.74,SN269
269,Bruce,Williams,53,Male,GMC,88,2006,Sedan,GB21OZTR81852296584929,2227829867784832,222,12/17,10/25,049 Brian green,Cooktown,E05 2SQ,0,False,2.0,single,25870,0,Cooper-Lee,7.96,SN270
270,Mathew,Palmer,59,Male,Ford,Tracker,1999,Pickup,GB23YNEJ19099645571138,30393716292530,73,04/21,01/24,3 Dunn viaduct,Stewartmouth,S09 6YP,0,False,4.0,married or civil partner,61813,0,Ingram Ltd,15.03,SN271
271,Holly,Welch,62,Female,Mercedes-Benz,Hombre Regular Cab,2005,Sedan,GB45NLVD43029686484536,372475253912939,566,05/19,07/26,8 Pauline rue,Sallychester,L5 3XN,0,False,2.0,single,63334,0,Leonard and Sons,15.28,SN272
272,Neil,Howells,60,Male,Lincoln,Mercedes-AMG CLA,2019,"Sedan, Wagon",GB14TYNP54756364746048,4655513587268675,418,07/18,06/22,Flat 8 Albert glen,Jamestown,L6 4ZZ,0,False,3.0,single,82617,0,"Abbott, Davies and Wallace",18.16,SN273
273,Tom,Hunter,40,Male,GMC,M3,1997,Wagon,GB88TUCR06141008751022,6501595138626676,242,06/20,04/27,777 Dunn ridge,New Connorborough,EX85 6RY,0,False,1.0,married or civil partner,37481,0,Saunders-Townsend,10.6,SN274
274,Eric,Hart,36,Male,MAZDA,Envision,2019,"Coupe, Convertible",GB15NZMV51510621291507,5437253570977949,166,06/16,08/26,Flat 54p Sheila crossing,Wattsshire,W56 3TB,0,False,2.0,married or civil partner,66402,0,Anderson LLC,15.76,SN275
275,Benjamin,Wood,31,Male,Pontiac,626,2000,SUV,GB45RZIB76728211549210,180015009230699,929,12/14,03/23,Flat 3 Naomi parks,West Conorhaven,SG49 1NQ,0,False,2.0,widowed,22457,0,Grant Inc,7.07,SN276
276,Gillian,Phillips,73,Female,INFINITI,Highlander,2013,"Coupe, Convertible",GB23WZRH88776509047073,6583982423310383,782,04/18,02/21,Studio 35 Jeremy streets,Simontown,LU23 3TA,0,True,4.0,married or civil partner,25275,21442,None,0.0,SN277
277,Dylan,Smith,28,Male,Toyota,Impala,2003,Convertible,GB75PIXS76364006105659,676250256762,648,02/15,01/27,Studio 56O Ellie drive,Jasminemouth,SY95 9SJ,0,False,1.0,married or civil partner,51590,0,Richards-Cole,13.3,SN278
278,Declan,Thomas,83,Male,Dodge,Vibe,1999,"Coupe, Convertible",GB27PMWC91041799294263,340229344568203,633,08/18,10/20,8 Sian rapid,Port Francesca,KY3 4RT,"{'amount': '18950.33', 'time_period_years': 2}",True,2.0,single,30132,16328,None,0.0,SN279
279,Judith,Robinson,22,Female,Mercury,Explorer,2010,SUV,GB89OANM13052659841718,3552551433839162,347,04/21,01/30,Studio 71 Williams valleys,Martinport,SW8V 1UY,0,False,1.0,married or civil partner,91343,0,"Cunningham, Morgan and Holland",19.35,SN280
280,Alexandra,Holt,28,Female,Honda,SLK-Class,2012,Van/Minivan,GB29XBKP39544522177171,2286346698331921,239,05/16,04/19,Studio 92 Thornton flat,Shaunfurt,N0D 2US,7638.62,False,3.0,married or civil partner,72616,0,"Smith, Walker and Pearson",16.71,SN281
281,Kyle,Ford,35,Male,Pontiac,Protege,1995,Van/Minivan,GB21SVAC23301744585349,213125315427748,109,11/19,05/20,Flat 9 Michael harbors,North Natasha,WC66 1QT,0,False,1.0,married or civil partner,29528,0,Wilson PLC,8.84,SN282
282,Abbie,O'Brien,58,Female,Ford,Aspire,2008,Pickup,GB38GNMY44055200590427,4936645026502,503,02/16,05/30,90 Kirsty harbor,Frederickhaven,B48 5PB,0,False,4.0,single,63322,0,"Carroll, Bennett and Roberts",15.27,SN283
283,Julie,Cook,77,Female,Subaru,Suburban 1500,2006,"Sedan, Hatchback",GB60TXXY76791188829900,4195826288765343232,908,02/20,06/22,85 Cox canyon,Port Stanley,B29 6HU,0,True,1.0,widowed,91908,22500,None,0.0,SN284
284,Norman,Howells,87,Male,Toyota,NV2500 HD Cargo,2000,Pickup,GB18ZMLR97663434090511,639001488407,968,06/15,04/29,4 Mandy via,Wilkinsonton,WN29 1FB,0,True,1.0,single,80988,34272,None,0.0,SN285
285,Benjamin,Smith,67,Male,Ford,Quest,1995,SUV,GB79SSBI70454906815639,3501958612202900,104,11/14,12/22,10 Alice keys,Lake Luketown,S26 8BY,0,False,1.0,married or civil partner,34574,0,Walker-Naylor,9.98,SN286
286,William,Green,25,Male,Nissan,Trooper,2020,"Sedan, Hatchback",GB58UJHI23246844392836,180025371179705,873,04/16,03/26,Studio 9 White parkways,Harrisonburgh,L42 9ZB,0,False,2.0,married or civil partner,53553,0,Singh PLC,13.64,SN287
287,Harriet,Butler,29,Female,Chevrolet,E150 Passenger,2004,Coupe,GB61QKBM80820159622850,4265585793537392,291,06/18,05/27,3 Marshall ridges,New Debra,YO24 2SS,0,False,1.0,married or civil partner,41175,0,"Ingram, Smith and Young",11.35,SN288
288,Damian,Thomas,85,Male,Cadillac,Sierra 3500 HD Regular Cab,2000,SUV,GB96EBKA96757314096459,4390905561131,49,04/17,09/23,Studio 48 Josephine green,New Jakestad,DH90 5ZJ,0,True,2.168711656441718,married or civil partner,88747,7539,None,0.0,SN289
289,Graham,Kay,53,Male,MAZDA,GLA,1992,Van/Minivan,GB50SUCQ15514593757146,213111949440448,206,11/15,07/16,Studio 68 Smith rest,Port Hazelview,PA67 2NX,8077.29,False,2.0,married or civil partner,65100,0,Hayward Inc,15.56,SN290
290,Tracy,Rowley,50,Female,Hyundai,Tacoma Double Cab,2011,Pickup,GB74WWEB67022849123931,372195554430189,333,12/15,03/24,Flat 62 Whitehead turnpike,North Stevenchester,M1 6JD,0,False,1.0,single,39509,0,"Fuller, King and Robinson",11.01,SN291
291,Beth,Gregory,58,Female,Acura,Sierra 2500 HD Crew Cab,2015,"Hatchback, Convertible",GB13UGIW41855551309186,676275072566,218,08/16,12/29,Studio 23 Robinson stravenue,Richardhaven,DT3 9TS,0,False,2.0,widowed,90089,0,Sharpe-Fraser,19.18,SN292
292,Jessica,Price,31,Female,BMW,Lumina,2010,"Coupe, Convertible",GB68JYVI69453115838004,3516262821265128,6445,10/15,02/22,Studio 1 Field hollow,Edwardshire,TA3P 6LA,0,False,2.0,married or civil partner,64718,0,Harris-Jenkins,15.5,SN293
293,Kieran,Heath,83,Male,Toyota,A6,1992,SUV,GB28VQOG22478273510511,4153200250709345,248,11/13,08/21,13 Hale light,East Mandy,BA1 4GB,0,True,1.0,single,44730,13803,None,0.0,SN294
294,Stewart,Smith,34,Male,Chevrolet,Legacy,2004,Sedan,GB64YFLS10694445945955,5553301586025563,519,09/20,03/26,Flat 72 Moore vista,South Abbie,CB34 7DL,0,False,3.0,divorced,83768,0,"Woods, Smith and Hopkins",18.32,SN295
295,Joan,Khan,20,Female,Volkswagen,LaCrosse,2003,Van/Minivan,GB45VOVQ05288180037538,579276377929,983,12/21,04/22,44 Williams view,New Jordanshire,L9A 0AD,0,False,3.0,divorced,48704,0,Watts-Williams,12.78,SN296
296,Gerald,Miles,83,Male,Ford,Sierra 3500 HD Crew Cab,2013,Van/Minivan,GB35ACTH38515557206352,2289470157207377,660,03/21,06/23,Studio 97v Sarah wells,East Louiseland,L6 1XQ,0,True,2.0,single,59484,14970,None,0.0,SN297
297,Declan,Kennedy,74,Male,Ford,Explorer,2002,Sedan,GB82SZMB17469923417565,30254980227935,46,06/16,07/20,4 Kyle spurs,South Trevor,ME6Y 2HZ,0,True,2.0,single,25298,31569,None,0.0,SN298
298,Rhys,Sims,88,Male,Oldsmobile,500L,2002,Pickup,GB33LWTS56695926101364,213193525985376,294,03/19,12/21,1 Donna island,Morleyview,CB7 9ER,0,True,1.0,single,51873,8417,None,0.0,SN299
299,Laura,Saunders,86,Female,GMC,2500 Regular Cab,2017,Wagon,GB45CWYZ57886095801740,502040490224,740,09/21,03/28,Flat 8 Angela cliffs,Hugheshaven,SM4 3DE,0,True,2.0,single,77530,39984,None,0.0,SN300
300,Clare,Davies,91,Female,Audi,M6,2017,"Coupe, Convertible",GB62ZHGF90849857162082,4996379492517708800,428,02/14,08/29,Flat 73V Eleanor vista,Slatertown,L7S 6YN,0,True,3.0,divorced,58664,19295,None,0.0,SN301
301,Wendy,Craig,50,Female,BMW,A3,2012,Hatchback,GB84YHWZ56859461823890,4437709056107098,9776,02/18,05/27,Flat 20e Hopkins trafficway,Charliemouth,SG95 1JP,0,False,2.0,single,78448,0,Palmer-Owens,17.57,SN302
302,Oliver,Burton,62,Male,GMC,Silverado 1500 Crew Cab,2009,Pickup,GB09QQDH82431622966525,4539078523514,979,10/13,05/19,3 Suzanne mission,Katherineland,G5 3GF,0,False,4.0,married or civil partner,83930,0,Simmons Ltd,18.34,SN303
303,Hugh,Elliott,79,Male,Chevrolet,Sable,2008,Wagon,GB48JJCZ10401420207414,4154862725389011456,978,09/14,09/19,759 Davies flats,Port Richardside,OX1X 5XE,0,True,2.0,married or civil partner,67481,38776,None,0.0,SN304
304,Jemma,Collins,42,Female,Dodge,Ridgeline,2001,"Sedan, Convertible",GB55KXCZ58888149015557,30486521095740,967,02/14,06/20,Flat 54 Lucy meadows,Port Kimberley,SN2X 9TB,0,False,2.0,widowed,58259,0,"Pearce, Gibson and Patel",14.45,SN305
305,Claire,Lord,68,Female,Toyota,F250 Super Duty Crew Cab,1999,Sedan,GB57VCOA16083204366223,675967686790,451,04/18,11/30,Studio 25 Barbara place,Lake Lawrence,CT9B 6US,0,False,3.0,married or civil partner,68675,0,Allen and Sons,16.11,SN306
306,Stuart,Williams,36,Male,Aston Martin,Savana 3500 Cargo,2008,"Sedan, Coupe, Convertible",GB79MXZM07199932110354,5135962590236624,7727,01/21,03/28,Flat 68 Russell fields,Seanton,L01 5ZT,0,False,3.0,married or civil partner,52905,0,Williams-Smart,13.53,SN307
307,Ian,Berry,73,Male,Ram,HR-V,2005,Pickup,GB80OCCZ99214708442079,3562878985590101,165,02/13,01/25,8 Linda pines,Simpsonview,DE5A 6YL,0,False,2.0,single,51445,0,Stephens Group,13.27,SN308
308,Danielle,Baxter,51,Female,Plymouth,MX-5 Miata,2000,Sedan,GB88BZVP04502634653746,3589540571151859,908,02/18,03/18,7 Josephine squares,Barryborough,G46 4ER,0,False,5.0,married or civil partner,51725,0,Barker-Thomas,13.32,SN309
309,Pamela,Dixon,28,Female,Hyundai,3 Series,2011,"SUV, Wagon",GB76DMAF82981810347657,675993860799,606,06/17,03/27,Studio 69r Tomlinson tunnel,Patriciaberg,G2 0DQ,0,False,3.0,married or civil partner,70366,0,"Ward, Parker and North",16.37,SN310
310,Glen,Joyce,83,Male,Mercedes-Benz,Crosstour,2002,Sedan,GB56LSWN09230606752186,630427605849,37,08/15,10/20,83 Mandy way,Julieborough,PR2R 5SQ,0,True,1.0,single,23229,25890,None,0.0,SN311
311,Nigel,Campbell,52,Male,Volkswagen,Cherokee,2007,SUV,GB10COXM85406212144645,180072977680454,615,11/20,03/27,3 Oliver ramp,South Sophieberg,OL9W 3ZF,0,False,1.0,single,66784,0,Lewis-Fletcher,15.82,SN312
312,Megan,Bradley,71,Female,Honda,Q50,2017,Pickup,GB10WWVY90480817986354,4674820373507682304,226,01/14,01/27,Flat 65q Anna village,South Emily,UB4 8BN,0,False,2.0,married or civil partner,72689,0,Johnson-Williams,16.72,SN313
313,Raymond,Phillips,40,Male,Chevrolet,Forester,2002,Coupe,GB13EKVX29844489805614,4743974961425026048,439,04/17,12/18,Flat 7 James drive,Elliotchester,M8 4UW,0,False,1.0,single,98863,0,"Moore, Evans and Pope",20.33,SN314
314,Rosie,Holden,38,Female,Nissan,Bolt EV,1994,Convertible,GB71RUFJ61889221599439,341918828426289,476,07/16,07/19,Flat 52u Sylvia radial,New Josh,W45 8HF,0,False,4.0,single,83537,0,Cole-Clements,18.29,SN315
315,Alexander,Jones,88,Male,GMC,Pathfinder,1992,"Sedan, Coupe, Wagon, Convertible",GB62CEIB93193745122461,568240219622,219,07/14,08/30,3 Hunt valley,South Fiona,HU7P 7LE,0,True,1.0,single,22862,7408,None,0.0,SN316
316,Glen,Frost,65,Male,Chrysler,Freestyle,1999,Van/Minivan,GB32UDJF07975377086161,30039172265870,366,11/17,07/24,Studio 13M Nathan villages,Parkermouth,BN3P 7UU,0,False,2.0,single,65708,0,"Moore, Robinson and Smith",15.65,SN317
317,Samuel,Webb,63,Male,Chevrolet,2500 Mega Cab,2011,Pickup,GB90MZMB14111459090890,3505966812359962,191,09/18,04/28,Flat 28 Kayleigh manors,Caroleport,G6 0RR,0,False,3.0,single,68950,0,Steele Inc,16.16,SN318
318,Thomas,Morgan,45,Male,Ford,F350 Super Duty Crew Cab,2001,"Hatchback, Convertible",GB78YARF60061302425275,376684456785135,218,01/16,05/27,Studio 09 Wilson shoals,Williamsport,LE06 5YZ,0,False,3.0,married or civil partner,90968,0,Brown-Rees,19.3,SN319
319,Anne,Davis,74,Female,Chrysler,S40,2018,Sedan,GB03DQAG08368702390376,372877443165189,836,05/15,04/17,4 Clayton courts,Johnsonberg,S7J 4PX,15256.11,True,2.0,single,24700,41614,None,0.0,SN320
320,Shirley,Richardson,61,Female,GMC,Golf,2018,SUV,GB46JBOT96805515590461,4823520546376652,742,05/21,03/25,Flat 78T Gavin court,Josephfurt,SM0 1AP,0,False,2.0,married or civil partner,30296,0,"Fletcher, Jones and Franklin",9.02,SN321
321,Dennis,Turner,76,Male,Volvo,Windstar Passenger,2012,Pickup,GB40RUHY98472533856637,6527302708702775,893,03/20,09/20,30 Josh freeway,Kathleenview,S8 6UG,0,False,2.0,widowed,43856,0,Martin-Jackson,11.87,SN322
322,Annette,Wilson,19,Female,MAZDA,Lancer,1994,Pickup,GB85DXSV86639499099761,5275624962779496,520,06/19,12/28,875 O'Brien brook,North Shaunburgh,L53 1TT,12051.06,False,2.0,married or civil partner,72077,0,Payne-Reynolds,16.63,SN323
323,Kenneth,Singh,38,Male,Audi,Mercedes-AMG S-Class,2008,SUV,GB78PDUT13812106462426,3525962952388420,284,03/18,07/28,0 Geoffrey ridge,North Samburgh,KW8H 1NG,0,False,4.0,single,67563,0,Doyle-Hawkins,15.94,SN324
324,Katy,Brown,27,Female,Scion,Metro,2010,Sedan,GB26ZFYG03679053501843,4835980968138095,108,07/15,12/25,Studio 47 Sharon trafficway,Brownmouth,M7 8PW,0,False,1.0,married or civil partner,42749,0,Parker Inc,11.66,SN325
325,Christian,Cooke,38,Male,Audi,Endeavor,2017,"Hatchback, Convertible",GB07GTPJ61387757929767,4503703880568852992,676,06/14,06/26,68 Fiona pines,East Alexfort,LD9B 9DH,0,False,2.0,divorced,95326,0,White-Brown,19.87,SN326
326,Rosemary,White,18,Female,Ford,Concorde,2009,Coupe,GB94IQYB29409452499708,30141436923979,197,06/20,11/24,4 Morrison rest,Scotthaven,L6K 4ZB,0,False,1.0,married or civil partner,24436,0,Baldwin-Byrne,7.59,SN327
327,Shaun,Clarke,35,Male,Volvo,MX-6,2001,Pickup,GB91FYSP62025740451410,3514080143163587,586,02/17,10/25,370 Barber parks,Bibihaven,S5 4PB,0,False,3.0,married or civil partner,52249,0,"Hawkins, Pearce and Harper",13.42,SN328
328,Carole,Lee,63,Female,Maserati,CTS-V,2016,Pickup,GB77STUH81885375805931,2403531244500693,88,08/17,10/29,Studio 31 Gray greens,West Wendychester,HU6 5JD,0,False,2.0,married or civil partner,76810,0,Rees and Sons,17.33,SN329
329,Brenda,Osborne,83,Female,Toyota,MAZDA6,2011,"Coupe, Sedan",GB79NQOC45266072098857,676135794847,877,01/19,03/29,Studio 79D Chloe plaza,Port Joel,S4 8ND,"{'amount': '15394.05', 'time_period_years': 3}",True,1.0,married or civil partner,53433,24579,None,0.0,SN330
330,Benjamin,Price,58,Male,Toyota,ZDX,1995,SUV,GB12FDWG24842670934275,4514551416930090,302,04/18,03/21,Studio 7 Kim curve,New Declan,N9 0EH,0,False,2.0,single,50747,0,"King, Burton and Richardson",13.15,SN331
331,Alan,Richards,28,Male,MINI,GranSport,2011,Hatchback,GB46OMXI52436313293898,676315442712,152,07/21,10/24,Flat 47z O'Connor ville,Walkermouth,N1F 8JN,0,False,2.0,married or civil partner,77571,0,"Harper, Read and Martin",17.44,SN332
332,Amelia,Blake,76,Female,Dodge,Montana,2013,Sedan,GB90VHIM47911353175801,4792250616998693888,399,11/18,05/27,02 Jacqueline mill,Lake Russell,CT8X 8PF,0,False,2.0,married or civil partner,68737,0,Hewitt-Russell,16.12,SN333
333,Craig,Clarke,51,Male,Volkswagen,Ridgeline,2015,Van/Minivan,GB87SKSB36333714083793,3510126157453697,773,12/19,09/29,517 Louis neck,Mannchester,N34 4HR,0,False,2.0,married or civil partner,90294,0,"Walters, Mellor and Brown",19.21,SN334
334,Ian,Pickering,81,Male,Toyota,VehiCROSS,2016,Wagon,GB30GCPS48734063312038,4203327761981594624,858,02/20,06/24,Studio 5 Hall knoll,Tonystad,W43 1ZE,0,True,1.0,single,25145,30943,None,0.0,SN335
335,Joan,Middleton,88,Female,Subaru,Voyager,2015,Sedan,GB25BYUR18266693475774,4730092869217451,958,01/18,11/24,051 Butler station,East Kelly,S97 4FP,13734.71,True,2.0,married or civil partner,76763,15039,None,0.0,SN336
336,Jayne,Palmer,53,Female,Acura,F350 Super Duty Crew Cab,2007,Sedan,GB21GVDZ72141042602787,3565053981548548,654,10/21,04/23,Flat 33W Bethany divide,Kingtown,CB78 3WD,0,False,3.0,widowed,18158,0,McLean PLC,5.86,SN337
337,Lauren,Ellis,76,Female,Mercedes-Benz,E350 Super Duty Cargo,1992,SUV,GB05LLNF30646049458607,4507481184136812,715,11/14,02/30,Studio 24 Johnson underpass,Russellview,IM54 0ZR,0,True,2.0,married or civil partner,44694,37407,None,0.0,SN338
338,Bernard,Martin,56,Male,GMC,GTI,1999,Sedan,GB19QUYY54961366284390,213158588187780,912,10/18,04/32,Flat 44 Connor plains,Eileenfort,E31 6RE,0,False,2.0,married or civil partner,89762,0,Waters PLC,19.14,SN339
339,Christine,O'Neill,55,Female,Chrysler,Santa Fe XL,2003,SUV,GB35KAVB40675764454534,6595674667530042,654,07/14,07/17,49 Walsh knoll,Lindseymouth,S9 9AH,0,False,2.0,divorced,36994,0,"Dawson, Welch and Banks",10.5,SN340
340,Callum,Goodwin,90,Male,Land Rover,3500 Extended Cab,2004,"Wagon, Sedan",GB51TOEM58837851344729,4727248049376212,289,08/15,02/28,Studio 3 Robin orchard,East Pauline,NN82 7PR,0,True,2.0,widowed,29477,19445,None,0.0,SN341
